"","Dataset","Station","Year","Month","Day","Depth","Latitude","Longitude","POP","PON","POC","POC_ugL","C_N_ratio","C_P_ratio","N_P_ratio","Zone"
"8052","PROSOPE",918,1999,9,14,3,36.1,-5.2,0.03583125,0.65130469,3.999375,48.0352933125,6.14055919050729,111.616954474097,18.1770016396302,"Alb"
"8053","PROSOPE",918,1999,9,14,10,36.1,-5.2,0.05016375,0.67619531,4.2215625,50.70392071875,6.24311118040733,84.1556402780893,13.4797599860457,"Alb"
"8054","PROSOPE",918,1999,9,14,20,36.1,-5.2,0.099133125,1.52856,7.99875,96.070586625,5.23286622703721,80.6869550415161,15.4192657600575,"Alb"
"8055","PROSOPE",918,1999,9,14,30,36.1,-5.2,0.10271625,1.52856,7.8876563,94.73627352241,5.16018756215,76.7907346695387,14.8813843963346,"Alb"
"8056","PROSOPE",918,1999,9,14,40,36.1,-5.2,0.10629938,1.6002113,8.3320312,100.07352713384,5.2068318727658,78.3826885914104,15.0538159300647,"Alb"
"8057","PROSOPE",918,1999,9,14,50,36.1,-5.2,0.10749375,1.6360369,8.7208594,104.74362599558,5.33047842625066,81.1289902901331,15.2198327809756,"Alb"
"8058","PROSOPE",918,1999,9,14,60,36.1,-5.2,0.10868812,1.6061822,8.1098437,97.40489972759,5.04914305487883,74.6157326118071,14.7779002893785,"Alb"
"8059","PROSOPE",918,1999,9,14,80,36.1,-5.2,0.05733,0.82553906,5.2214063,62.71274464741,6.32484464151218,91.0763352520495,14.3997742892029,"Alb"
"8060","PROSOPE",918,1999,9,14,100,36.1,-5.2,0.034636875,0.56833594,3.1661719,38.02794083933,5.57095139892086,91.4104375755607,16.4084069362493,"Alb"
"8069","PROSOPE",920,1999,9,15,5,36.41,-0.85,0.02341875,0.41121094,1.8419531,22.12314609817,4.47933875494655,78.6529212703496,17.5590473445423,"Alb"
"8070","PROSOPE",920,1999,9,15,15,36.41,-0.85,0.025760625,0.40792125,2.1595313,25.93748258491,5.29399069060511,83.8307028653226,15.8350680544436,"Alb"
"8071","PROSOPE",920,1999,9,15,30,36.41,-0.85,0.076110938,1.4569087,5.7164063,68.65804114741,3.92365444725534,75.1062390007597,19.1419096687522,"Alb"
"8072","PROSOPE",920,1999,9,15,40,36.41,-0.85,0.09835875,1.6002113,7.621875,91.5440540625,4.76304285565288,77.4905638796752,16.269130097729,"Alb"
"8073","PROSOPE",920,1999,9,15,45,36.41,-0.85,0.092504063,1.5822984,7.4948438,90.01832042866,4.73668165246201,81.021779551456,17.1051773152926,"Alb"
"8074","PROSOPE",920,1999,9,15,60,36.41,-0.85,0.038640938,0.60272437,3.3663281,40.43195691067,5.58518664178122,87.118177617738,15.5980781315402,"Alb"
"8075","PROSOPE",920,1999,9,15,70,36.41,-0.85,0.022247813,0.33554812,1.3338281,16.02020916067,3.97507248736783,59.9532232673836,15.0822968531783,"Alb"
"8076","PROSOPE",920,1999,9,15,90,36.41,-0.85,0.026931563,0.42765938,1.3338281,16.02020916067,3.11890294561059,49.526575936198,15.8794860884977,"Alb"
"8077","PROSOPE",920,1999,9,15,120,36.41,-0.85,0.022247813,0.31581,1.1432813,13.73160870991,3.62015547322757,51.3884802969173,14.1951031321596,"Alb"
"8078","PROSOPE",920,1999,9,15,150,36.41,-0.85,0.015222188,0.25001625,NA,NA,NA,NA,16.4244621075498,"Alb"
